"Iteration","Posterior","Likelihood"
5090,-307.5973,-309.5504
5100,-312.3507,-309.3158
5110,-308.1459,-308.939
5120,-309.7678,-309.6232
5130,-306.0258,-308.5135
5140,-311.9249,-309.7224
5150,-311.1781,-311.3459
5160,-310.6086,-309.7512
5170,-308.6926,-312.2741
5180,-311.0594,-311.4527
5190,-308.134,-310.1639
5200,-308.9815,-309.616
5210,-306.7923,-309.8735
5220,-307.4772,-309.7085
5230,-310.033,-309.912
5240,-306.9874,-309.4575
5250,-307.59,-309.2027
5260,-310.5142,-309.5811
5270,-313.6408,-309.8464
5280,-310.3536,-310.2414
5290,-307.911,-310.9155
5300,-306.7187,-309.3427
5310,-308.8198,-310.361
5320,-307.8291,-310.112
5330,-306.6216,-309.043
5340,-307.461,-309.9319
5350,-310.3281,-309.8444
5360,-309.2997,-308.9632
5370,-309.9232,-312.1491
5380,-308.3125,-310.7424
5390,-309.2288,-309.823
5400,-309.3344,-308.7027
5410,-308.1668,-308.0001
5420,-307.8718,-311.268
5430,-308.0474,-309.4979
5440,-307.5208,-309.1751
5450,-311.8051,-308.3737
5460,-306.6465,-308.7868
5470,-312.6339,-308.586
5480,-310.5381,-308.2107
5490,-312.9209,-312.9873
5500,-304.1294,-307.9501
5510,-305.7185,-308.143
5520,-307.9495,-307.7126
5530,-306.0651,-308.6826
5540,-308.4173,-308.5092
5550,-307.9614,-307.2244
5560,-310.0427,-308.372
5570,-303.9779,-307.7272
5580,-307.9447,-309.9703
5590,-306.2039,-308.8867
5600,-307.6858,-309.3962
5610,-306.568,-307.7251
5620,-309.5177,-308.3498
5630,-309.9563,-308.5415
5640,-307.2657,-307.1272
5650,-305.2536,-309.0411
5660,-305.582,-308.8878
5670,-307.824,-307.94
5680,-306.7093,-307.7944
5690,-306.4123,-308.8562
5700,-304.8896,-308.555
5710,-304.9136,-308.1787
5720,-310.7694,-310.1382
5730,-306.6612,-309.0092
5740,-306.5416,-309.8109
5750,-304.896,-307.9052
5760,-307.6961,-307.0969
5770,-309.763,-308.9156
5780,-308.8939,-309.3187
5790,-306.0389,-307.8713
5800,-306.1882,-308.5631
5810,-308.1607,-310.0231
5820,-305.3364,-308.7468
5830,-306.862,-307.9697
5840,-308.4527,-311.4922
5850,-306.588,-308.4437
5860,-306.5363,-309.276
5870,-305.0862,-308.1119
5880,-306.7717,-308.7095
5890,-308.3268,-308.7486
5900,-307.8449,-309.9824
5910,-305.2734,-307.2569
5920,-310.7663,-307.1551
5930,-304.6104,-308.16
5940,-311.8396,-312.1402
5950,-305.268,-309.1016
5960,-306.1375,-307.6231
5970,-309.9818,-309.2609
5980,-306.9806,-308.8945
5990,-310.5169,-307.9336
6000,-307.2384,-307.4093
6010,-303.6361,-307.5526
6020,-306.7099,-309.592
6030,-311.0449,-310.2719
6040,-304.7803,-308.7371
6050,-308.68,-310.1038
6060,-308.1652,-308.4709
6070,-306.8758,-308.9919
6080,-311.2309,-308.7916
6090,-307.5787,-309.7209
6100,-306.8098,-308.7352
6110,-304.4894,-307.75
6120,-306.298,-309.3919
6130,-306.3244,-307.6583
6140,-306.85,-307.8759
6150,-305.7245,-307.6429
6160,-307.5718,-308.4638
6170,-306.2222,-308
6180,-309.5362,-308.5886
6190,-305.1637,-307.4101
6200,-312.099,-309.1352
6210,-308.9695,-309.2568
6220,-309.3779,-308.038
6230,-304.7089,-308.0665
6240,-307.5696,-309.0811
6250,-308.1476,-308.2575
6260,-307.5488,-310.6962
6270,-304.8098,-307.6848
6280,-306.548,-306.9385
6290,-307.4912,-309.7496
6300,-310.3825,-308.3365
6310,-306.592,-309.8151
6320,-313.5435,-311.0221
6330,-310.0647,-310.4836
6340,-308.5692,-307.8462
6350,-307.8453,-309.3763
6360,-310.6315,-307.5584
6370,-307.9361,-308.5701
6380,-309.1972,-307.9827
6390,-306.8333,-307.2294
6400,-306.989,-307.978
6410,-308.2597,-307.4804
6420,-312.0568,-311.7394
6430,-307.0781,-307.6749
6440,-310.2459,-309.2861
6450,-309.8342,-308.3839
6460,-306.9241,-307.4958
6470,-309.5699,-308.2309
6480,-307.9927,-309.013
6490,-307.4055,-308.34
6500,-309.2633,-308.7433
6510,-312.9764,-308.5317
6520,-305.7703,-307.6006
6530,-307.0988,-307.9276
6540,-309.1133,-309.0676
6550,-308.4501,-309.1543
6560,-306.1345,-306.9598
6570,-308.8153,-308.2499
6580,-308.5343,-308.0451
6590,-304.2681,-307.6282
6600,-304.5921,-307.2475
6610,-306.7646,-307.7796
6620,-305.3553,-307.5987
6630,-306.5142,-308.5158
6640,-309.3923,-311.5912
6650,-305.3473,-308.1483
6660,-306.406,-307.2357
6670,-308.835,-310.0339
6680,-310.6831,-310.5925
6690,-307.3749,-309.4109
6700,-307.7115,-308.2805
6710,-309.7333,-311.9511
6720,-311.9097,-308.0236
6730,-307.8498,-308.1616
6740,-307.8106,-308.0756
6750,-307.8311,-307.4198
6760,-306.2432,-309.4542
6770,-307.3388,-308.0311
6780,-309.5845,-306.8639
6790,-312.8138,-307.459
6800,-308.0886,-307.4741
6810,-309.4241,-309.6968
6820,-308.8732,-311.286
6830,-307.0783,-307.3998
6840,-305.7717,-308.5188
6850,-304.7389,-308.5703
6860,-309.4185,-308.0574
6870,-306.8628,-308.7405
6880,-304.0365,-307.4009
6890,-311.7895,-307.8367
6900,-305.9614,-309.692
6910,-305.9185,-309.7449
6920,-305.6335,-307.11
6930,-307.489,-308.9294
6940,-305.7607,-307.6502
6950,-308.8078,-309.3331
6960,-308.3969,-308.17
6970,-306.2038,-307.6914
6980,-305.3756,-307.3743
6990,-306.1787,-307.8517
7000,-308.768,-309.4896
7010,-310.6214,-307.9654
7020,-306.3419,-308.0356
7030,-310.3116,-309.4296
7040,-306.8957,-308.7492
7050,-307.1833,-307.9515
7060,-309.4688,-307.8977
7070,-304.7378,-307.2745
7080,-307.0427,-308.3491
7090,-307.865,-308.899
7100,-307.7944,-307.3615
7110,-312.2329,-309.3792
7120,-309.1686,-308.8149
7130,-310.1365,-309.3991
7140,-306.0159,-308.5767
7150,-308.1725,-308.3954
7160,-309.2046,-307.4999
7170,-310.1736,-312.8981
7180,-305.3174,-307.9893
7190,-311.111,-311.2331
7200,-306.514,-311.2443
7210,-308.2751,-308.1855
7220,-306.5942,-308.8258
7230,-307.0873,-309.473
7240,-305.0499,-307.4665
7250,-309.7338,-310.1093
7260,-306.3522,-309.9461
7270,-305.8237,-308.4673
7280,-306.4216,-307.9618
7290,-311.0645,-307.5196
7300,-306.4044,-308.0559
7310,-310.6223,-311.5618
7320,-309.9265,-309.8593
7330,-306.6524,-307.3074
7340,-311.2134,-309.3418
7350,-309.9238,-312.3945
7360,-307.8874,-307.7159
7370,-306.0587,-308.1086
7380,-308.506,-307.5921
7390,-313.3971,-308.2775
7400,-307.5277,-307.3974
7410,-306.9364,-308.3911
7420,-310.424,-309.3042
7430,-307.7889,-308.9698
7440,-305.7881,-308.1116
7450,-304.7978,-307.1582
7460,-308.0854,-308.4694
7470,-309.1069,-309.1043
7480,-307.2722,-307.2053
7490,-305.6172,-309.0022
7500,-304.3382,-306.989
7510,-305.5535,-308.0017
7520,-305.6374,-307.3277
7530,-308.3602,-307.8841
7540,-306.5207,-306.6589
7550,-305.5045,-308.5106
7560,-309.0507,-310.7029
7570,-308.0005,-308.3329
7580,-308.3644,-311.0697
7590,-307.4376,-309.0737
7600,-304.859,-307.6073
7610,-311.3093,-310.6779
7620,-310.671,-307.7673
7630,-308.2059,-307.1972
7640,-306.1161,-308.0031
7650,-308.9077,-310.8917
7660,-312.6078,-309.2992
7670,-305.79,-308.2411
7680,-314.3831,-309.1506
7690,-306.772,-308.6993
7700,-307.2402,-309.7865
7710,-309.1293,-307.4017
7720,-306.9249,-308.116
7730,-307.4906,-308.4974
7740,-308.0793,-310.3943
7750,-305.0789,-308.5861
7760,-316.7903,-309.2461
7770,-306.3242,-309.4956
7780,-305.9239,-308.1422
7790,-309.8687,-311.9192
7800,-307.5603,-307.2698
7810,-308.9571,-310.6349
7820,-314.3983,-308.3758
7830,-306.7897,-308.193
7840,-304.8931,-307.5009
7850,-308.5035,-309.8707
7860,-307.081,-308.1245
7870,-308.9719,-308.083
7880,-311.2694,-309.1074
7890,-305.7714,-307.8603
7900,-312.0484,-312.8683
7910,-304.9919,-307.6527
7920,-304.5548,-307.1765
7930,-304.8672,-307.3246
7940,-307.2704,-309.1608
7950,-308.0321,-307.3071
7960,-316.6898,-311.6619
7970,-305.7455,-306.8041
7980,-312.0626,-310.2646
7990,-311.1035,-312.9502
8000,-305.4827,-308.6468
8010,-306.2921,-308.4746
8020,-309.0721,-309.1445
8030,-305.7084,-308.8039
8040,-305.3321,-308.292
8050,-305.4908,-308.2123
8060,-311.8027,-307.7591
8070,-306.1879,-307.6977
8080,-305.5617,-309.1458
8090,-308.9625,-308.7929
8100,-307.9114,-309.6287
8110,-307.7833,-310.3609
8120,-306.1282,-307.8382
8130,-308.1586,-309.306
8140,-304.3647,-307.7546
8150,-309.744,-309.3757
8160,-309.0023,-307.654
8170,-307.8286,-308.3836
8180,-306.5226,-309.0402
8190,-307.7069,-308.1617
8200,-310.9507,-310.8837
8210,-305.7295,-307.1171
8220,-304.9795,-307.6832
8230,-310.579,-311.2718
8240,-307.5722,-306.8477
8250,-305.4373,-308.1703
8260,-310.8348,-308.6988
8270,-307.2685,-307.7261
8280,-306.336,-307.8684
8290,-306.276,-308.8015
8300,-306.6722,-307.0344
8310,-304.4813,-306.9686
8320,-304.9959,-307.473
8330,-305.9504,-308.9815
8340,-306.3121,-308.2797
8350,-303.1988,-307.3414
8360,-310.4695,-308.6317
8370,-306.743,-308.4784
8380,-312.0737,-311.3868
8390,-304.8958,-308.1003
8400,-305.9,-307.82
8410,-305.6051,-309.1669
8420,-311.5766,-307.7838
8430,-306.0067,-308.4416
8440,-310.2542,-310.2811
8450,-307.1859,-307.4649
8460,-305.7401,-307.8397
8470,-305.8428,-307.8084
8480,-307.0809,-307.391
8490,-305.4197,-307.0526
8500,-307.3494,-309.3307
8510,-311.8644,-309.8011
8520,-306.008,-308.8232
8530,-304.7986,-307.577
8540,-306.0467,-309.0413
8550,-309.1378,-311.4952
8560,-308.1274,-308.2
8570,-308.7152,-307.8912
8580,-307.9713,-308.6191
8590,-307.0784,-307.413
8600,-312.0912,-309.4608
8610,-305.2243,-308.6004
8620,-309.0391,-309.4844
8630,-312.5189,-313.3022
8640,-306.8853,-308.624
8650,-308.8702,-309.8509
8660,-308.1376,-310.1549
8670,-306.9497,-308.0343
8680,-309.2378,-309.1064
8690,-307.5314,-309.1363
8700,-308.3917,-308.8823
8710,-314.4636,-309.0548
8720,-306.3771,-308.6538
8730,-308.8797,-308.814
8740,-316.8252,-309.5757
8750,-307.2319,-309.3928
8760,-310.6653,-308.3151
8770,-313.9026,-311.0744
8780,-307.1962,-307.7917
8790,-309.8196,-307.4461
8800,-305.5913,-309.8246
8810,-308.3305,-308.9109
8820,-306.8031,-308.0462
8830,-306.1221,-308.0243
8840,-307.3863,-308.2826
8850,-308.0215,-308.6116
8860,-311.7984,-307.5422
8870,-307.0812,-307.4629
8880,-309.3495,-307.175
8890,-304.0497,-307.3066
8900,-309.7344,-307.7546
8910,-308.7506,-307.1948
8920,-307.3409,-307.9611
8930,-306.0957,-307.137
8940,-309.4825,-307.6619
8950,-307.7004,-311.5436
8960,-314.1045,-310.2696
8970,-304.9329,-307.7815
8980,-309.7138,-309.4994
8990,-308.7641,-309.737
9000,-307.7688,-308.7212
9010,-307.5407,-310.2156
9020,-309.8948,-308.4635
9030,-309.05,-308.2628
9040,-308.186,-306.8427
9050,-309.9029,-309.3419
9060,-313.7972,-308.0309
9070,-305.7494,-308.1212
9080,-305.3189,-307.2167
9090,-310.0156,-309.1783
9100,-306.883,-307.4024
9110,-310.2592,-307.9085
9120,-306.9238,-308.7749
9130,-308.5956,-308.8954
9140,-308.9325,-308.812
9150,-311.7315,-310.0766
9160,-306.2465,-309.1365
9170,-308.7998,-310.024
9180,-306.2353,-308.0015
9190,-306.5788,-307.381
9200,-305.4597,-307.7584
9210,-305.0669,-307.8617
9220,-303.7901,-307.4928
9230,-305.8008,-308.7487
9240,-307.7278,-312.0708
9250,-306.2324,-307.5027
9260,-310.177,-310.4757
9270,-308.2226,-309.0985
9280,-306.1976,-308.7742
9290,-306.7428,-307.8224
9300,-310.0075,-310.6407
9310,-310.769,-308.6124
9320,-309.7682,-307.8061
9330,-305.6966,-307.7533
9340,-307.2644,-307.6304
9350,-306.5793,-309.5044
9360,-311.1153,-309.3768
9370,-310.9761,-311.5041
9380,-304.4225,-307.5321
9390,-305.7136,-307.4463
9400,-308.9644,-309.413
9410,-308.3018,-307.2951
9420,-306.153,-307.254
9430,-307.8102,-308.2049
9440,-307.2278,-309.2093
9450,-307.552,-310.0996
9460,-306.9668,-309.0262
9470,-305.2666,-308.3612
9480,-307.7013,-308.8039
9490,-307.6568,-308.694
9500,-305.476,-307.2468
